1929 ou 1989 ?	1929年还是1989年?
De l'incroyable laboratoire des médias du MIT aux départements de mathématiques et d'économie de Harvard, les Asiatiques (notamment des Chinois et des Indiens) sont partout, comme les Romains à Athènes un siècle avant Jésus-Christ : plein d'admiration pour ceux dont ils apprennent énormément et qu'ils dépasseront lors des prochaines décennies.	从一流的麻省理工学院的媒体实验室到哈佛大学的数学和经济系，亚洲人-尤其是中国和印度人-到处都是，犹如公元前一世纪在雅典的罗马人一样：他们对那里学到太多东西的人们充满了敬佩，而他们将在今后几十年打败他们学习的对象。
Mais avant que n'émerge un nouvel ordre mondial, la planète risque d'être confrontée à une vague de désordre, ou peut-être même de véritable chaos.	但是，在这一新秩序的出现之前，世界可能会面临更广泛的混沌，如果不是彻底的混乱的话。
Que va-t-il arriver par exemple pour un pays aussi central et vulnérable que l'Egypte quand les centaines de milliers d'Egyptiens qui travaillent dans le Golfe devront rentrer chez eux à cause de la crise dans les pays producteurs de pétrole ?	例如，对埃及这样一个重要而又脆弱的国家，有数十万的埃及人曾在海湾工作但现在因石油生产国出现的危机而被迫返回了自己的家园，那埃及会发生什么情况呢？
Quand les riches deviennent moins riches, les pauvres deviennent encore plus pauvres.	当富人不再那么富了，穷人就会更穷。
Et que va-t-il se passer pour les travailleurs étrangers qui ont réalisé leur ampquot;rêve européenampquot; et risquent de se trouver confrontés à une explosion de xénophobie dans les pays d'une Europe supposée ouverte.	还有，对于那些追求“欧洲梦”的外来工人，现在他们面临着理应是开放的欧洲国家的仇外心态可能的爆发，他们会有怎样的遭遇？
Finalement, les conséquences de 1989 ont été moins durables que ce que beaucoup d'observateurs (moi y compris) le pensaient.	1989年革命所带来的成果，最后没有包括我在内许多观察家所想象的那么持久。
Il reste à espérer que de même, les effets de 2009 seront moins dramatiques que ce que l'on peut l'imaginer pour l'instant - guidés par l'intuition et par un réflexe historique.	我们只能希望2009年的危机同样地最后被证明是远远低于我们现在以直觉和历史回顾的方式��感觉到的那么剧烈。
	
Un siècle d’incompétence	百年愚顽
BERLIN – La crise financière et économique survenue en 2008 a constitué la plus grande mise à l’épreuve économique depuis la Grande Dépression, ainsi que le plus important défi auquel ont été confrontés le système social et le système politique depuis la Seconde Guerre mondiale.	柏林 — — 2008年爆发的全球金融和经济危机是自大萧条以来最严峻的一次经济压力测试，也是自二战以来社会和政治制度所面临的最严重挑战。
Elle a non seulement mis en péril les marchés financiers et les monnaies, mais également exposé un certain nombre de défaillances réglementaires et de gouvernance, qui ne sont encore aujourd’hui pas entièrement résolues.	它不仅对金融市场和货币构成威胁；而且还暴露了迄今为止都无法完全解决的严重的监管和治理缺陷。
En effet, la crise de 2008 laissera certainement derrière elle le souvenir d’un moment charnière, mais pas parce qu’elle aura conduit à des réformes permettant de renforcer la résilience économiques et de mettre un terme aux vulnérabilités.	事实上，2008年危机极有可能被视为一座分水岭，但却并非因为它导致了强化经济弹性和消除经济弱点的改革而永久留在人们的记忆当中。
Au contraire, l’incapacité des dirigeants à tirer les leçons de la Grande Récession, et à agir en conséquence, risque d’ouvrir la voie à une série de nouvelles crises, économiques ou autres, au cours des prochaines décennies.	相反，领导人未能汲取大萧条的教训，更不用说为此采取相应的预防对策可能引发未来几十年一系列新的经济和其他危机。
Quel que soit le degré de gravité des crises qui nous attendent, les historiens du siècle prochain observeront sans doute avec désolation notre manque de vision à long terme.	无论这些危机有多严重，一个世纪后的历史学家都极有可能绝望于我们的短视。
Ils raconteront comment les analystes et régulateurs se sont étroitement concentrés sur la réparation du système financier en renforçant les programmes nationaux de courte vue.	他们将会看到，分析人士和监管机构通过强化国家监管机制，仅仅是狭隘地专注于修复金融体系。
Les historiens y verront certes une démarche compréhensible, mais certainement pas constitutive de l’unique impératif.	尽管这一目标并非全无价值，但就像历史学家们所指出的那样，这绝不是唯一一件必须要做的事。
Pour préparer le monde à affronter les défis engendrés par la mondialisation et le développement technologique, dans une démarche de durabilité et de croissance équitable, les institutions de gouvernance et les réglementations au niveau national et international devront être radicalement améliorées.	为使世界能够以确保可持续及平衡增长的方式来应对全球化和技术进步所带来的挑战，就必须对国内和国际两级治理机构和制度进行大规模升级。
Or, les efforts investis à cet égard se révèlent bien insuffisants.	但目前这方面的投入还远远不够。
Au-delà d’organes régionaux tels que l’Union européenne, la gouvernance financière internationale demeure largement inchangée.	除欧盟等地区机构外，国际金融治理机构基本仍未受到波及。
Pire encore, dans la mesure où les correctifs partiels apportés au système financier permettront encore davantage de mondialisation, ils finiront par aggraver la situation, à mesure qu’augmentera la pression sur une gouvernance et des cadres réglementaires déjà inadéquats, pas seulement dans le domaine de la finance, mais également en matière économique et technologique.	更糟的是，因为部分修复金融体系将会带来进一步全球化，这些举措最终会恶化现有问题，因为此举不仅在金融、而且在其他经济和技术领域增加了对本已欠缺的治理和监管框架的压力。
Dans le même temps, il faut s’attendre à ce que les investissements colossaux consacrés à la sécurisation de taux de rendement supérieurs alimentent l’innovation technologique, éprouvant encore davantage les systèmes réglementaires dans le domaine de la finance et au-delà.	此外，专注于提高回报率的巨额金融投资很有可能会推动技术创新，并由此进一步加大对金融和其他监管体系所造成的压力。
Les avancées technologiques majeures appuyées par l’argent bon marché peuvent conduire les marchés à évoluer si rapidement que le changement politique et institutionnel ne peut suivre le rythme.	廉价资金推动的重大技术创新可以令市场变化速度快到政策和机构变化均无法适应。
De nouveaux marchés peuvent par ailleurs émerger, et conférer des gains considérables aux adopteurs et investisseurs précoces, qui bénéficient de leurs quelques pas d’avance restante par rapport aux régulateurs nationaux et internationaux.	同时新市场的出现可以为早期进入者或投资者带来巨大的回报，并使他们可以持续受益于相对国内及国际监管机构的领先。
C’est ce qu’il s’est produit à l’approche de la crise de 2008.	这恰恰符合2008年危机爆发之前的情况。
De nouveaux instruments financiers nés de la technologie ont créé des opportunités permettant à quelques-uns d’amasser des sommes considérables.	新技术支持的金融工具为某些人赚取巨额利润创造了机遇。
Or, les régulateurs ne sont pas parvenus à suivre le rythme des innovations, ce qui a fini par générer des risques qui ont affecté l’économie entière.	但监管机构却无法跟上创新的步伐，并最终酿成了影响整体经济的风险。
Intervient ici une différence fondamentale entre les crises mondiales du XXIe siècle et par exemple la Grande Dépression des années 1930, ou en réalité n’importe quel krach boursier passé.	这体现出21世纪的全球危机与20世纪30年代大萧条或过去任何一次股市崩盘之间的根本区别。
Compte tenu de la croissance du secteur financier, davantage d’acteurs bénéficient d’une sous-réglementation et d’une faible gouvernance à court terme, ce qui rend les crises d’aujourd’hui plus difficile à prévenir.	金融行业持续增长导致更多参与主体从短期监管不足和治理薄弱中获益，从而使人们更加难以预防现在的危机。
Ajoutant à cette complexité, les systèmes affectés par les crises contemporaines s’étendent au-delà de la compétence de n’importe quel organe réglementaire.	令问题更加复杂的是，受当前危机影响的系统远远超过任何一个监管机构的监管范围。
Les crises se révèlent ainsi encore plus ingérables, et leurs conséquences – y compris leur influence sur les sociétés et les politiques – plus difficiles à prédire.	这导致危机变得更加凶险，并导致人们更加难以对危机所产生后果 — — 包括社会和政治领域的长期后果 — — 进行预判。
Les prochaines crises – qui découleront probablement d’un nationalisme grandissant, ainsi que d’une absence croissante de prise en compte des sciences et prises de décisions politiques basées sur les faits – seront peut-être financières, mais elles pourraient impliquer également des aspects aussi divers que les migrations, le commerce, le cyberespace, la pollution et le changement climatique.	下一次危机 — — 因为民族主义情绪抬头和人们越来越无视基于科学和事实的决策而变得可能性愈来愈大 — — 可能涉及金融，但也可能涉及移民、贸易、网络空间、污染和气候变化等诸多领域。
Dans tous ces domaines, les institutions de gouvernance nationales et internationales sont faibles ou incomplètes, et rares sont les acteurs indépendants, tels que les groupes de vigilance, à exiger transparence et responsabilité.	在上述所有领域，国内和国际治理机构都力量薄弱或覆盖不完善，而且严重缺乏要求透明度和问责制的监督组织等独立行动主体。
Ceci rend plus difficile non seulement la prévention des crises – notamment parce qu’apparaissent des opportunités permettant aux acteurs de se jouer du système et de fuir leur responsabilité – mais également la réponse aux crises.	这不仅加大了预防危机的难度 — — 尤其因为它为参与者提供了钻空子和逃避责任的机会 — — 还使得人们越来越难以采取措施来应对危机。
Celle de 2008 a violemment mis en lumière combien nous échouons à répondre rapidement aux catastrophes, notamment à celles engendrées par une gouvernance fragmentée.	2008年危机暴露出我们在面对灾难时的快速反应有多么薄弱，尤其当造成灾难的主要原因是分散治理。
Bien entendu, comme le démontre le rapport 2018 de la Hertie School sur la gouvernance, des progrès ont été accomplis dans la prévention et la gestion des crises.	可以肯定，就像2018年赫蒂学院治理报告所表明的那样，人类在准备应对和管理危机方面取得了一定的进展。
Nous devons cependant nous montrer plus vigilants face au risque de voir des événements survenant dans des domaines très divers – de la finance aux technologies numériques en passant par le changement climatique – échapper aux capacités de gouvernance des institutions nationales et internationales.	但我们必须警惕更广泛领域的发展 — — 从金融到数字技术再到气候变化 — — 是以何种方式来规避国内和国际机构的治理监管。
Nous devons dresser des scénarios de crise, élaborer des plans d’urgence face aux éventualités de bouleversement dans tous les domaines, et prendre des mesures plus fortes pour atténuer les risques, notamment en gérant les niveaux de dette, qui demeurent aujourd’hui encore plus élevés qu’avant la crise de 2008 dans les économies développées.	我们应当在上述所有领域进行危机情景预演并制定危机爆发之际的紧急计划，同时采取包括管理债务水平等更强有力的措施来降低风险，今天发达经济体的债务水平均远高于2008年危机爆发之前。
Il nous faut par ailleurs veiller à conférer aux institutions internationales les ressources et les responsabilités nécessaires.	此外，我们应当确保赋予国际机构必要的监管责任和资源。
De même, en sanctionnant ceux qui accentuent les risques pour servir leurs propres intérêts, nous pourrions renforcer la légitimité de la gouvernance mondiale et des institutions censées la conduire.	通过对那些因为自身利益而加剧风险的人进行惩戒，我们可以强化全球治理及其责任落实机构的合法地位。
En l’état actuel des choses, une mauvaise coordination transfrontalière et une mise en application insuffisante des accords internationaux font considérablement obstacle à la prévention et gestion des crises.	目前，跨境协调和国际协定落实不充分是危机预防和管理的主要障碍。
Or, loin de remédier à cette fragilité, le monde renoue avec un modèle obsolète de souveraineté nationale qui plus probables encore les crises de différents types.	但世界各国正在重新兴起过时的国家主权模式不但没有解决这个问题，而且增大了各种危机的爆发风险。
À moins que nous changions rapidement de cap, le monde de 2118 aura toutes les raisons de nous regarder avec condescendance.	除非我们尽快改变方向，否则2118年的世界将有足够的理由来鄙视我们。
	
Les raisons de l'échec de 2008	2008年败在何处？
BERKELEY – Pour résoudre un problème, il ne suffit pas de savoir quoi faire.	伯克利—要解决问题，光知道做什么是不够的。
Il faut en outre mettre en œuvre la solution et être disposé à changer de cap s'il s'avère que vous n'étiez pas aussi bien renseigné que vous le pensiez.	你实际上必须实施解决办法 — — 并且在事实证明你知道的并不如你认为的那样多时，你得愿意改变办法。
C'est le message de deux livres récents qui à eux deux nous apprennent tout ce qu'il faut savoir sur la crise financière de 2008 : ce qui l'a provoquée, ce qui peut être fait pour empêcher qu'elle ne se reproduise et les raisons pour lesquelles ces choses restent encore à faire.	这就是两本新书一起告诉你的信息。 这两本新书讲述了你需要知道的关于2008年金融危机的一切：什么引起了金融危机，可以做什么防止它再次发生，以及为何这些事情还没有人去做。
Le premier livre est The Shifts and the Shocks, par le journaliste britannique conservateur Martin Wolf, qui commence par cataloguer les changements majeurs qui ont préparé le terrain pour le désastre économique qui continue de façonner notre monde actuel.	第一本书是《变化和冲击 》 （ The Shifts and the Shocks ） ， 作者是保守派英国记者马丁·沃尔夫（Martin Wolf ） 。
Son point de départ est la montée énorme des richesses parmi 0,1% et 0,01% des personnes les plus riches du monde et la pression qui en résulte pour les citoyens, les gouvernements et les entreprises qui doivent supporter des niveaux de dette de moins en moins durables.	在书的开头，他对酝酿了至今仍在影响世界的这场经济灾难的重要变化做了归纳编目。 首先，他指出世界最富有的0.1%和0.01%人群财富剧增，这给人民、政府和公司造成了日益不可持续的高负债的压力。
Pendant ce temps, les décideurs se sont bercés dans la complaisance de l'acceptation généralisée de théories économiques du type de « l'hypothèse du marché efficient », qui présuppose que les investisseurs agissent rationnellement et utilisent toutes les informations disponibles lors de leur prise de décision.	与此同时，决策者因为“有效市场假说”等经济理论的广泛接受而志得意满，有效市场假说认为投资者的行为是理性的，在作出决策时会利用一切可获得的信心。
En conséquence les marchés ont été déréglementés, ce qui a rendu plus facile à des actifs commerciaux d'être perçus comme inoffensifs, alors qu'en définitive ils ne l'étaient pas.	结果，市场监管被放松，交易被认为安全但实际并不安全的资产变得更加容易。
Ainsi le risque systémique a proliféré au-delà des plus folles espérances des dirigeants des banques centrales.	结果，系统性风险悄然酝酿，并且超过了央行官员最大胆的想象。
Les hypothèses non contestées et finalement erronées ont créé un environnement de projets politiques définissable uniquement sous le terme d'hubris.	未受检验并且最终错误的假设形成了一个只能用狂妄自大形容的决策环境。
Les pouvoirs publics ont sous-estimé les « risques extrêmes ».	官员低估了尾部风险。
Ils ont placé leurs objectifs d'inflation autour de 2%, laissant ainsi peu de place pour manœuvrer en cas de mer houleuse.	它们将通胀目标设定在2%左右 — — 这意味着当波涛汹涌时他们根本没有多少施展空间。
Mesure plus audacieuse encore, l'Union européenne a introduit l'euro comme monnaie commune.	此外，最大胆的动作要数欧盟引入欧元作为共同货币。
En effet, l'élaboration mal inspirée des mesures a continué longtemps après le début de la crise.	事实上，方向错误的决策在危机开始后仍然能维持了很长时间。
Les politiciens ont répondu à la dégradation des conditions économiques en se conformant toujours aussi strictement que possible aux recommandations qui avaient échoué, en veillant à ne rien faire de plus que le strict nécessaire pour traiter la plus grande catastrophe économique depuis la Crise de 1929.	政客对恶化的经济条件的反应是坚定实施错误的药方，对于这场大萧条以来最严重的经济灾难，他们除了绝对需要做的事情意外什么都不做。
La recommandation de Wolf pour contrer la crise est simple, intelligente et inattaquable.	沃尔夫给抵御这场危机开出的药方简单、明智并且无懈可击。
Dans l'immédiat, il suggère que les pays dotés de monnaies de réserve dépensent davantage (surtout pour financer les investissements publics) et émettent davantage de dette.	在短期，他建议拥有储备货币的国家增加支出（特别是公共部门投资融资 ） 、 发行更多债务。
Il soutient que leurs banques centrales doivent augmenter leurs objectifs d'inflation à 3% voire même à 4% par an.	他指出，这些国家的央行应该将通胀目标提高到每年3%甚至4 % 。
À moyen terme selon Wolf, les pays ont besoin de mettre en place des mesures réglementaires qui abaissent le niveau d'endettement et découragent le surendettement.	在中期，沃尔夫认为各国需要实施监管措施降低债务水平、阻止过度举债。
La zone euro doit elle aussi résoudre ses contradictions internes, soit par sa dissolution, soit en introduisant « un ensemble minimum d'institutions et de mesures » permettant à l'union monétaire de fonctionner correctement.	欧元区也必须解决其内部矛盾，要么通过解散欧元区实现，要么通过引入能令货币联盟正常运行的“最小限度的机构和政策组合”实现。
Les solutions à long terme de Wolf comprennent la lutte contre les inégalités, « une règlementation plus globale », une plus grande « liberté pour les différents pays dans l'élaboration de leurs propres réponses » et une analyse économique qui soit moins sous la coupe des idéologues du libéralisme qui nous ont conduits vers la crise.	沃尔夫的长期解决方案包括遏制不平等 、 “ 更加全球化的监管 ” 、 更大程度的“个体国家自己决定反应方式的自由”以及更少受到自由市场思想束缚的经济分析。 一开始正是自由市场思想让我们陷入了危机。
Pourtant aussi recommandables que les propositions de Wolf puissent paraître, peu d'efforts ont été faits pour les mettre en application.	但是，尽管沃尔夫的方案值得推荐，但几乎没有任何实施。
Les raisons à cela figurent dans le deuxième livre : Hall of Mirrors publié par mon ami, professeur et patron, Barry Eichengreen.	原因可以从第二本书中找到：由我的朋友、老师和“老板”巴里·艾肯格林（Barry Eichengreen）所著的《镜厅 》 （ Hall of Mirrors ） 。
Eichengreen retrace notre réponse tiède à la crise, le triomphe des économistes monétaristes disciples de Milton Friedman sur leurs pairs d'obédience keynésienne et minskyenne (au moins en ce qui concerne les interprétations des causes et des conséquences de la Crise de 1929).	艾肯格林认为，我们对这场危机反应不温不火，原因要追溯到作为弗里德曼（MiltonFriedman）门徒的���币经济学家对凯恩斯主义和明斯基（MInskyite）主义同行的胜利 — — 至少在解释大萧条的原因和后果方面是如此。
Lorsque la crise financière de 2008 a éclaté, les décideurs ont essayé d'appliquer les solutions proposées par Friedman pour résoudre la Crise de 1929.	2008年金融危机爆发时，决策者试图使用弗里德曼提出的大萧条方案。
Malheureusement cela s'est avéré un mauvais choix, puisque l'interprétation monétariste de la Crise de 1929, pour le dire crûment, a eu tort sur bien des aspects importants et s'est montrée radicalement incomplète.	不幸的是，事实证明这是错的，直言不讳地说，货币主义者对大萧条的解释在众多方面都是错误的，并且非常不完整。
Les mesures qui en ont résulté ont suffi à éviter que la récession post-2008 ne se transforme en une véritable dépression. Mais ce succès partiel s'est avéré être une victoire à la Pyrrhus, car il a permis aux politiciens de déclarer que la crise avait été surmontée et qu'il était temps de suivre des mesures d'austérité pour mieux se concentrer sur la réforme structurelle.	由此产生的政策足以阻止2008年后的衰退演变为完全的萧条；但这一局部成功的代价也是巨大的，它让政客宣布危机已经被克服，应该采取紧缩并专注于结构改革。
Il en résulte une économie actuelle stagnante, marquée par une croissance anémique qui menace de devenir la nouvelle norme.	结果就是现在的经济停滞，其特征是增长无力并且随时可能成为新常态。
Les États-Unis et l'Europe sont en passe d'avoir dilapidé 10% de leurs richesses potentielles, tandis que l'incapacité à renforcer la réglementation du secteur financier a laissé l'économie mondiale exposée au risque d'une autre crise majeure.	美国和欧洲损失了10%的潜在财富，而没有强化金融部门监管让世界经济随时可能迎来新一场大危机。
Wolf et Eichengreen conviendraient que les principales failles qui ont conduit à la crise financière de 2008 (et qui continuent d'étayer notre réponse insatisfaisante à cette crise) sont intellectuelles.	沃尔夫和艾肯格林会认为，导致2008年金融危机的主要缺陷 — — 以及继续破坏我们对危机的不充分反应的主要缺陷 — — 是知识缺陷。
En effet la seule vraie leçon de la crise semble être que jusqu'à aujourd'hui, les vraies leçons ne seront jamais vraiment tirées.	事实上，到目前为止，危机的唯一真正教训是它的教训从未被真正汲取。
	
La stratégie du retour de l'Europe	欧洲的重振战略
STOCKHOLM/MADRID – Lorsque le pape François Ier s'est adressé au Parlement Européen en novembre dernier, il a comparé l'Union européenne à une grand-mère : agréable et pleine d'expérience, mais dénuée de la vitalité et de l'énergie qu'elle a pu montrer jadis.	斯托克霍姆/马德里—去年11月，教皇方济各在其欧洲议会演讲中将欧盟比作祖母 — — 和蔼而富于经验，但已不再有过去的活力和能量。
Le pape a soutenu qu'il était grand temps que les dirigeants européens se défassent de leur manque de dynamisme, qu'ils reconnaissent les défis stratégiques auxquels l'Europe est confrontée et qu'ils conçoivent des mesures claires pour y faire face.	方济各说，现在是一个关键时刻，欧盟领导人必须摆脱懈怠形象，承认欧洲所面临的战略挑战，并构建应对挑战的明确政策。
Malheureusement le portrait dressé par le pape est juste à certains égards.	诚然，教皇的描述在某些角度讲非常准确。
Mais malgré sa lassitude apparente, l'Europe conserve des atouts importants.	但是，尽管欧洲看起来疲态尽露，但仍拥有巨大优势。
Elle est une plaque tournante de haut niveau pour la réflexion et l'innovation. Elle abrite certaines des régions et des industries les plus compétitives du monde et (fait peut-être encore plus impressionnant), elle représente une communauté et un marché regroupant un demi-milliard de personnes.	欧洲是高水平思想和创新的枢纽；是世界最有竞争力地区和产业的所在地；最重要的是，它还构建了一个由五亿人组成的社会和市场。
Mais le monde est en train de changer : la région Asie-Pacifique a de plus en plus d'influence dans les événements mondiaux, économiques et autres.	但世界正在变化：亚太地区正在日益影响全球经济和其他发展趋势。
L'Accord de Partenariat Trans-Pacifique, par lequel les États-Unis et 11 autres pays doivent créer une zone de libre-échange méga-régionale, va très probablement accélérer ce changement (ce qui va encore se confirmer si la Chine finit par les rejoindre).	跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
Bien que le Partenariat Trans-Pacifique (PTP) contienne de nombreux obstacles à surmonter avant qu'un accord ne soit finalisé, il ne faut pas sous-estimer sa capacité à augmenter la puissance économique de l'Asie.	尽管TPP距离最终完成协议还有很多障碍需要跨越，但其扩大亚洲经济实力的潜力绝不容���觑。
L'Europe doit s'employer à renforcer sa position dans le nouvel ordre mondial, en commençant par relancer ses propres relations commerciales et ses investissements avec les États-Unis.	欧洲必须致力于确保其在新世界秩序中的地位 — — 首先要强化其自身与美国的贸易和投资联系。
Le problème est que malgré l'avancée des négociations du PTP, les pourparlers du Partenariat transatlantique de commerce et d'investissement (PTCI) entre l'UE et les États-Unis sont si profondément embourbés dans des controverses internes que l'ensemble du projet risque d'être sabordé.	在TPP谈判不断推进的同时，欧盟-美国跨大西洋贸易和投资伙伴关系（Transatlantic Trade and Investment Partnership，TTIP）谈判却深陷国内矛盾的掣肘，整个工程都有可能夭折。
Les chefs d'entreprises des deux côtés de l'Atlantique sont convaincus qu'un accord PTCI réussi apporterait des avantages économiques substantiels : une opinion étayée par de nombreuses études.	大西洋两岸的商业领袖相信，成功的TTIP协议将带来巨大的经济收益 — — 许多研究都强化了这一感觉。
Pourtant des questions triviales (par exemple, l'utilisation de poulet traité au chlore et le règlement de différends avec les investisseurs) continuent de dominer le débat.	但一些微妙的问题 — — 比如“氯化鸡 ” （ 欧洲怀疑美国鸡肉进入市场前都用氯消毒）和投资者纠纷和解等问题 — — 仍主导着争论。
L'objectif du PTCI est d'exploiter la puissance de l'économie transatlantique, qui reste de loin le plus grand et le plus riche marché du monde, représentant les trois-quarts de l'activité financière mondiale et plus de la moitié du commerce mondial.	TTIP的目标是释放跨大西洋经济的力量 — — 目前大西洋两岸仍是世界最大最富有的市场，占全球金融活动的四分之三和世界贸易量的一大半。
(Si le PTCI était ouvert à d'autres économies, comme la Turquie, le Mexique et le Canada, les avantages seraient encore plus grands.)	（如果TTIP向其他经济体开放 — — 比如土耳其、墨西哥和加拿大 — — 则收益还将更大。 ）
Il existe toutefois un argument encore plus convaincant que les avantages de parvenir à un accord : les conséquences potentiellement catastrophiques d'un échec.	但是，比达成协议的好处更加让人感到必须成功的是谈判失败可能带来的灾难性结果。
Pour commencer, une rupture des pourparlers du PTCI fournirait des arguments considérables aux membres du Royaume-Uni qui prônent le retrait de l'UE. Inversement, si le PTCI était mis en œuvre, il serait malavisé (et donc peu probable) que le Royaume-Uni sorte de l'UE.	首先，TTIP谈判的破裂将极大地加强英国鼓吹离开欧盟阵营的力量；反之，如果TTIP获得实施，英国离开欧盟将是不明智之举，因此也不会发生。
Par ailleurs, le sentiment que des querelles internes à l'UE ont conduit à gâcher une opportunité stratégique risquerait probablement de conduire les États-Unis à accélérer leur désengagement en faveur du continent.	此外，欧洲的内讧导致其白白浪费了一个战略机会，这一感觉可能促使美国加速远离欧洲。
Et le président russe Vladimir Poutine pourrait toujours considérer l'échec de l'Union européenne comme une opportunité majeure d'exercer plus d'influence sur certaines régions de l'Europe.	而俄罗斯总统普京也必然会将欧洲的失败视为影响欧洲更多地区的良机。
